PO Number: 2518
Batch NO: 1563
SIM Type: ISIM
Circle: MU
SIM Quantity: 5000
SIM Subtype: RAW
Memory: 128K
SIM Size: 2FF+3FF+4FF
Card Type: SIM_DOM
SKU: 5656
Card Manufacturer: 386779
*************************************************
*          INPUT AND OUTPUT VARIABLES DESCRIPTION
*************************************************
IMPU	IMPI	IMSI	IMSII	ICCID	PIN1	PUK1	PIN2	PUK2	EncryptedKi	EncryptedOPC	TranskeyIndex	OPKeyIndex	MSN
SIP:405874052495099@ims.mnc874.mcc405.3gppnetwork.org	405874052495099@ims.mnc874.mcc405.3gppnetwork.org	405874052495099	405874052495099	89918740100000909089	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495100@ims.mnc874.mcc405.3gppnetwork.org	405874052495100@ims.mnc874.mcc405.3gppnetwork.org	405874052495100	405874052495100	89918740100000909099	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495101@ims.mnc874.mcc405.3gppnetwork.org	405874052495101@ims.mnc874.mcc405.3gppnetwork.org	405874052495101	405874052495101	89918740100000909109	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495102@ims.mnc874.mcc405.3gppnetwork.org	405874052495102@ims.mnc874.mcc405.3gppnetwork.org	405874052495102	405874052495102	89918740100000909119	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495103@ims.mnc874.mcc405.3gppnetwork.org	405874052495103@ims.mnc874.mcc405.3gppnetwork.org	405874052495103	405874052495103	89918740100000909129	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495104@ims.mnc874.mcc405.3gppnetwork.org	405874052495104@ims.mnc874.mcc405.3gppnetwork.org	405874052495104	405874052495104	89918740100000909139	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495105@ims.mnc874.mcc405.3gppnetwork.org	405874052495105@ims.mnc874.mcc405.3gppnetwork.org	405874052495105	405874052495105	89918740100000909149	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495106@ims.mnc874.mcc405.3gppnetwork.org	405874052495106@ims.mnc874.mcc405.3gppnetwork.org	405874052495106	405874052495106	89918740100000909159	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495107@ims.mnc874.mcc405.3gppnetwork.org	405874052495107@ims.mnc874.mcc405.3gppnetwork.org	405874052495107	405874052495107	89918740100000909169	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495108@ims.mnc874.mcc405.3gppnetwork.org	405874052495108@ims.mnc874.mcc405.3gppnetwork.org	405874052495108	405874052495108	89918740100000909179	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495109@ims.mnc874.mcc405.3gppnetwork.org	405874052495109@ims.mnc874.mcc405.3gppnetwork.org	405874052495109	405874052495109	89918740100000909189	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495110@ims.mnc874.mcc405.3gppnetwork.org	405874052495110@ims.mnc874.mcc405.3gppnetwork.org	405874052495110	405874052495110	89918740100000909199	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495111@ims.mnc874.mcc405.3gppnetwork.org	405874052495111@ims.mnc874.mcc405.3gppnetwork.org	405874052495111	405874052495111	89918740100000909209	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495112@ims.mnc874.mcc405.3gppnetwork.org	405874052495112@ims.mnc874.mcc405.3gppnetwork.org	405874052495112	405874052495112	89918740100000909219	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495113@ims.mnc874.mcc405.3gppnetwork.org	405874052495113@ims.mnc874.mcc405.3gppnetwork.org	405874052495113	405874052495113	89918740100000909229	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495114@ims.mnc874.mcc405.3gppnetwork.org	405874052495114@ims.mnc874.mcc405.3gppnetwork.org	405874052495114	405874052495114	89918740100000909239	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495115@ims.mnc874.mcc405.3gppnetwork.org	405874052495115@ims.mnc874.mcc405.3gppnetwork.org	405874052495115	405874052495115	89918740100000909249	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495116@ims.mnc874.mcc405.3gppnetwork.org	405874052495116@ims.mnc874.mcc405.3gppnetwork.org	405874052495116	405874052495116	89918740100000909259	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495117@ims.mnc874.mcc405.3gppnetwork.org	405874052495117@ims.mnc874.mcc405.3gppnetwork.org	405874052495117	405874052495117	89918740100000909269	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495118@ims.mnc874.mcc405.3gppnetwork.org	405874052495118@ims.mnc874.mcc405.3gppnetwork.org	405874052495118	405874052495118	89918740100000909279	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495119@ims.mnc874.mcc405.3gppnetwork.org	405874052495119@ims.mnc874.mcc405.3gppnetwork.org	405874052495119	405874052495119	89918740100000909289	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495120@ims.mnc874.mcc405.3gppnetwork.org	405874052495120@ims.mnc874.mcc405.3gppnetwork.org	405874052495120	405874052495120	89918740100000909299	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495121@ims.mnc874.mcc405.3gppnetwork.org	405874052495121@ims.mnc874.mcc405.3gppnetwork.org	405874052495121	405874052495121	89918740100000909309	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495122@ims.mnc874.mcc405.3gppnetwork.org	405874052495122@ims.mnc874.mcc405.3gppnetwork.org	405874052495122	405874052495122	89918740100000909319	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495123@ims.mnc874.mcc405.3gppnetwork.org	405874052495123@ims.mnc874.mcc405.3gppnetwork.org	405874052495123	405874052495123	89918740100000909329	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495124@ims.mnc874.mcc405.3gppnetwork.org	405874052495124@ims.mnc874.mcc405.3gppnetwork.org	405874052495124	405874052495124	89918740100000909339	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495125@ims.mnc874.mcc405.3gppnetwork.org	405874052495125@ims.mnc874.mcc405.3gppnetwork.org	405874052495125	405874052495125	89918740100000909349	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495126@ims.mnc874.mcc405.3gppnetwork.org	405874052495126@ims.mnc874.mcc405.3gppnetwork.org	405874052495126	405874052495126	89918740100000909359	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495127@ims.mnc874.mcc405.3gppnetwork.org	405874052495127@ims.mnc874.mcc405.3gppnetwork.org	405874052495127	405874052495127	89918740100000909369	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495128@ims.mnc874.mcc405.3gppnetwork.org	405874052495128@ims.mnc874.mcc405.3gppnetwork.org	405874052495128	405874052495128	89918740100000909379	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495129@ims.mnc874.mcc405.3gppnetwork.org	405874052495129@ims.mnc874.mcc405.3gppnetwork.org	405874052495129	405874052495129	89918740100000909389	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495130@ims.mnc874.mcc405.3gppnetwork.org	405874052495130@ims.mnc874.mcc405.3gppnetwork.org	405874052495130	405874052495130	89918740100000909399	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495131@ims.mnc874.mcc405.3gppnetwork.org	405874052495131@ims.mnc874.mcc405.3gppnetwork.org	405874052495131	405874052495131	89918740100000909409	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495132@ims.mnc874.mcc405.3gppnetwork.org	405874052495132@ims.mnc874.mcc405.3gppnetwork.org	405874052495132	405874052495132	89918740100000909419	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495133@ims.mnc874.mcc405.3gppnetwork.org	405874052495133@ims.mnc874.mcc405.3gppnetwork.org	405874052495133	405874052495133	89918740100000909429	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495134@ims.mnc874.mcc405.3gppnetwork.org	405874052495134@ims.mnc874.mcc405.3gppnetwork.org	405874052495134	405874052495134	89918740100000909439	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495135@ims.mnc874.mcc405.3gppnetwork.org	405874052495135@ims.mnc874.mcc405.3gppnetwork.org	405874052495135	405874052495135	89918740100000909449	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495136@ims.mnc874.mcc405.3gppnetwork.org	405874052495136@ims.mnc874.mcc405.3gppnetwork.org	405874052495136	405874052495136	89918740100000909459	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495137@ims.mnc874.mcc405.3gppnetwork.org	405874052495137@ims.mnc874.mcc405.3gppnetwork.org	405874052495137	405874052495137	89918740100000909469	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495138@ims.mnc874.mcc405.3gppnetwork.org	405874052495138@ims.mnc874.mcc405.3gppnetwork.org	405874052495138	405874052495138	89918740100000909479	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495139@ims.mnc874.mcc405.3gppnetwork.org	405874052495139@ims.mnc874.mcc405.3gppnetwork.org	405874052495139	405874052495139	89918740100000909489	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495140@ims.mnc874.mcc405.3gppnetwork.org	405874052495140@ims.mnc874.mcc405.3gppnetwork.org	405874052495140	405874052495140	89918740100000909499	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495141@ims.mnc874.mcc405.3gppnetwork.org	405874052495141@ims.mnc874.mcc405.3gppnetwork.org	405874052495141	405874052495141	89918740100000909509	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495142@ims.mnc874.mcc405.3gppnetwork.org	405874052495142@ims.mnc874.mcc405.3gppnetwork.org	405874052495142	405874052495142	89918740100000909519	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495143@ims.mnc874.mcc405.3gppnetwork.org	405874052495143@ims.mnc874.mcc405.3gppnetwork.org	405874052495143	405874052495143	89918740100000909529	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495144@ims.mnc874.mcc405.3gppnetwork.org	405874052495144@ims.mnc874.mcc405.3gppnetwork.org	405874052495144	405874052495144	89918740100000909539	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495145@ims.mnc874.mcc405.3gppnetwork.org	405874052495145@ims.mnc874.mcc405.3gppnetwork.org	405874052495145	405874052495145	89918740100000909549	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495146@ims.mnc874.mcc405.3gppnetwork.org	405874052495146@ims.mnc874.mcc405.3gppnetwork.org	405874052495146	405874052495146	89918740100000909559	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495147@ims.mnc874.mcc405.3gppnetwork.org	405874052495147@ims.mnc874.mcc405.3gppnetwork.org	405874052495147	405874052495147	89918740100000909569	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495148@ims.mnc874.mcc405.3gppnetwork.org	405874052495148@ims.mnc874.mcc405.3gppnetwork.org	405874052495148	405874052495148	89918740100000909579	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495149@ims.mnc874.mcc405.3gppnetwork.org	405874052495149@ims.mnc874.mcc405.3gppnetwork.org	405874052495149	405874052495149	89918740100000909589	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495150@ims.mnc874.mcc405.3gppnetwork.org	405874052495150@ims.mnc874.mcc405.3gppnetwork.org	405874052495150	405874052495150	89918740100000909599	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495151@ims.mnc874.mcc405.3gppnetwork.org	405874052495151@ims.mnc874.mcc405.3gppnetwork.org	405874052495151	405874052495151	89918740100000909609	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495152@ims.mnc874.mcc405.3gppnetwork.org	405874052495152@ims.mnc874.mcc405.3gppnetwork.org	405874052495152	405874052495152	89918740100000909619	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495153@ims.mnc874.mcc405.3gppnetwork.org	405874052495153@ims.mnc874.mcc405.3gppnetwork.org	405874052495153	405874052495153	89918740100000909629	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495154@ims.mnc874.mcc405.3gppnetwork.org	405874052495154@ims.mnc874.mcc405.3gppnetwork.org	405874052495154	405874052495154	89918740100000909639	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495155@ims.mnc874.mcc405.3gppnetwork.org	405874052495155@ims.mnc874.mcc405.3gppnetwork.org	405874052495155	405874052495155	89918740100000909649	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495156@ims.mnc874.mcc405.3gppnetwork.org	405874052495156@ims.mnc874.mcc405.3gppnetwork.org	405874052495156	405874052495156	89918740100000909659	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495157@ims.mnc874.mcc405.3gppnetwork.org	405874052495157@ims.mnc874.mcc405.3gppnetwork.org	405874052495157	405874052495157	89918740100000909669	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495158@ims.mnc874.mcc405.3gppnetwork.org	405874052495158@ims.mnc874.mcc405.3gppnetwork.org	405874052495158	405874052495158	89918740100000909679	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495159@ims.mnc874.mcc405.3gppnetwork.org	405874052495159@ims.mnc874.mcc405.3gppnetwork.org	405874052495159	405874052495159	89918740100000909689	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495160@ims.mnc874.mcc405.3gppnetwork.org	405874052495160@ims.mnc874.mcc405.3gppnetwork.org	405874052495160	405874052495160	89918740100000909699	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495161@ims.mnc874.mcc405.3gppnetwork.org	405874052495161@ims.mnc874.mcc405.3gppnetwork.org	405874052495161	405874052495161	89918740100000909709	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495162@ims.mnc874.mcc405.3gppnetwork.org	405874052495162@ims.mnc874.mcc405.3gppnetwork.org	405874052495162	405874052495162	89918740100000909719	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495163@ims.mnc874.mcc405.3gppnetwork.org	405874052495163@ims.mnc874.mcc405.3gppnetwork.org	405874052495163	405874052495163	89918740100000909729	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495164@ims.mnc874.mcc405.3gppnetwork.org	405874052495164@ims.mnc874.mcc405.3gppnetwork.org	405874052495164	405874052495164	89918740100000909739	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495165@ims.mnc874.mcc405.3gppnetwork.org	405874052495165@ims.mnc874.mcc405.3gppnetwork.org	405874052495165	405874052495165	89918740100000909749	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495166@ims.mnc874.mcc405.3gppnetwork.org	405874052495166@ims.mnc874.mcc405.3gppnetwork.org	405874052495166	405874052495166	89918740100000909759	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495167@ims.mnc874.mcc405.3gppnetwork.org	405874052495167@ims.mnc874.mcc405.3gppnetwork.org	405874052495167	405874052495167	89918740100000909769	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495168@ims.mnc874.mcc405.3gppnetwork.org	405874052495168@ims.mnc874.mcc405.3gppnetwork.org	405874052495168	405874052495168	89918740100000909779	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495169@ims.mnc874.mcc405.3gppnetwork.org	405874052495169@ims.mnc874.mcc405.3gppnetwork.org	405874052495169	405874052495169	89918740100000909789	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495170@ims.mnc874.mcc405.3gppnetwork.org	405874052495170@ims.mnc874.mcc405.3gppnetwork.org	405874052495170	405874052495170	89918740100000909799	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495171@ims.mnc874.mcc405.3gppnetwork.org	405874052495171@ims.mnc874.mcc405.3gppnetwork.org	405874052495171	405874052495171	89918740100000909809	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495172@ims.mnc874.mcc405.3gppnetwork.org	405874052495172@ims.mnc874.mcc405.3gppnetwork.org	405874052495172	405874052495172	89918740100000909819	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495173@ims.mnc874.mcc405.3gppnetwork.org	405874052495173@ims.mnc874.mcc405.3gppnetwork.org	405874052495173	405874052495173	89918740100000909829	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495174@ims.mnc874.mcc405.3gppnetwork.org	405874052495174@ims.mnc874.mcc405.3gppnetwork.org	405874052495174	405874052495174	89918740100000909839	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495175@ims.mnc874.mcc405.3gppnetwork.org	405874052495175@ims.mnc874.mcc405.3gppnetwork.org	405874052495175	405874052495175	89918740100000909849	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495176@ims.mnc874.mcc405.3gppnetwork.org	405874052495176@ims.mnc874.mcc405.3gppnetwork.org	405874052495176	405874052495176	89918740100000909859	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495177@ims.mnc874.mcc405.3gppnetwork.org	405874052495177@ims.mnc874.mcc405.3gppnetwork.org	405874052495177	405874052495177	89918740100000909869	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495178@ims.mnc874.mcc405.3gppnetwork.org	405874052495178@ims.mnc874.mcc405.3gppnetwork.org	405874052495178	405874052495178	89918740100000909879	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495179@ims.mnc874.mcc405.3gppnetwork.org	405874052495179@ims.mnc874.mcc405.3gppnetwork.org	405874052495179	405874052495179	89918740100000909889	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
